idinteraccion,idorigen,tipoorigen,iddestino,tipodestino,tipointeraccion,valorinteraccion,idprecedente,idcurso,fecha,plataforma
26,89,alumno,12,material,consulta,null,-1,0,2013-11-09 08:32:49.034,facebook
27,508,alumno,586,alumno,mensaje,Praesentium quisquam rerum quo qui aut consectetur quisquam laborum sint dolores perspiciatis illum et mollitia et omnis et aliquid officiis qui.,6,0,2013-10-15 02:55:56.124,crea
28,575,alumno,171,alumno,reaccion,me_divierte,5,0,2013-10-30 04:28:24.727,facebook
29,85,alumno,34,alumno,mencion,@eum,20,0,2013-09-05 02:00:08.072,facebook
30,508,alumno,-1,null,publicacion,Rerum eligendi in asperiores facilis sunt qui rerum velit eum eaque consequatur et ut quibusdam ex similique dignissimos.,-1,0,2013-08-26 15:41:35.36,facebook
31,173,alumno,466,alumno,mencion,@repellat,23,0,2013-10-03 03:32:41.003,facebook
32,410,alumno,-1,null,publicacion,Optio possimus eos ut doloremque iure inventore itaque ut voluptate neque culpa officia sint velit non.,-1,0,2013-10-24 21:32:20.952,facebook
33,435,alumno,586,alumno,comentario,Iste sint voluptatem consequuntur tempore placeat qui minima omnis nobis eum est voluptatem.,21,0,2013-10-27 00:46:21.627,crea
34,214,alumno,27,material,consulta,null,-1,0,2013-09-25 20:09:26.527,crea
35,0,docente,578,alumno,comentario,Consequatur incidunt minima autem voluptatum error voluptas eum reiciendis laboriosam qui.,3,0,2013-10-07 09:57:29.048,crea
36,0,docente,71,alumno,mencion,@inventore,7,0,2013-09-04 16:37:08.54,facebook
37,432,alumno,89,alumno,mencion,@eaque,8,0,2013-09-22 08:51:15.891,facebook
38,384,alumno,71,alumno,mensaje,Cum nesciunt facilis sapiente rem ipsa tempora optio architecto eligendi quis autem recusandae sint nihil.,9,0,2013-10-11 13:21:23.114,crea
39,0,docente,578,alumno,comentario,Et et minima quis eius veritatis delectus possimus ipsam fuga enim minima consequatur beatae.,15,0,2013-09-26 05:13:18.342,crea
40,543,alumno,85,alumno,mensaje,Alias voluptatem qui placeat ut officia iste in et sequi non inventore ipsa illum sit eveniet accusamus dignissimos earum voluptatibus.,25,0,2013-09-30 14:03:19.853,crea
41,417,alumno,578,alumno,mencion,@dolorum,3,0,2013-11-12 09:14:51.386,facebook
42,435,alumno,-1,null,publicacion,Iusto id quia voluptates ut exercitationem magnam ut vel distinctio non alias ipsum explicabo voluptates quis.,-1,0,2013-10-20 02:27:48.712,facebook
43,586,alumno,4,material,consulta,null,-1,0,2013-08-16 04:24:00.776,facebook
44,248,alumno,171,alumno,mencion,@facere,5,0,2013-11-20 15:22:58.631,facebook
45,74,alumno,1,material,consulta,null,-1,0,2013-09-20 13:42:17.522,crea
46,0,docente,508,alumno,reaccion,me_gusta,30,0,2013-11-02 02:31:26.476,facebook
47,0,docente,85,alumno,reaccion,me_asombra,29,0,2013-10-24 11:13:39.332,facebook
48,0,docente,214,alumno,comentario,Sequi quam quia enim aliquam qui cumque inventore dignissimos et ut eveniet non.,22,0,2013-11-17 12:01:37.547,facebook
49,410,alumno,13,material,consulta,null,-1,0,2013-10-24 16:37:28.439,facebook
50,74,alumno,-1,null,publicacion,Beatae a quaerat voluptatem impedit dolorem autem tenetur ut et ut explicabo dolorem est veritatis veritatis maiores saepe reiciendis est ut.,-1,0,2013-11-24 22:59:31.642,facebook
51,586,alumno,34,alumno,mensaje,Sequi hic adipisci dolorum tempora officiis voluptates nihil similique reiciendis dolorem nesciunt aliquam qui sunt officia velit rerum nostrum.,6,0,2013-11-08 07:22:29.549,crea
52,543,alumno,575,alumno,reaccion,me_asombra,28,0,2013-10-17 23:07:28.802,facebook
53,0,docente,417,alumno,mencion,@ad,41,0,2013-08-19 14:46:17.135,facebook
54,0,docente,34,alumno,reaccion,me_entristece,20,0,2013-10-19 02:36:10.709,facebook
55,71,alumno,6,material,consulta,null,-1,0,2013-10-23 11:07:00.86,facebook
56,248,alumno,26,material,consulta,null,-1,0,2013-11-07 03:13:39.831,facebook
57,575,alumno,5,material,consulta,null,-1,0,2013-11-23 22:13:24.75,crea
58,0,docente,0,docente,mensaje,Libero nihil error atque voluptas quis minus dolores enim adipisci mollitia ea consequuntur labore voluptas consequatur labore fugiat incidunt reiciendis consectetur.,-1,0,2013-09-29 09:59:14.997,crea
59,565,alumno,435,alumno,comentario,Est distinctio deleniti ut ullam nulla nihil omnis sunt quis expedita ea eum ipsa.,42,0,2013-10-21 21:31:39.941,crea
60,0,docente,319,alumno,mensaje,Necessitatibus harum sit molestiae quas ullam voluptatum cupiditate et qui et saepe odio aut facilis.,25,0,2013-10-21 11:42:58.622,crea
61,71,alumno,-1,null,publicacion,Quae similique voluptas illum ipsum itaque animi eveniet iure fuga saepe omnis dolorem dolorem eos dolor non est sint aliquam.,-1,0,2013-10-10 23:45:38.526,facebook
62,214,alumno,25,material,consulta,null,-1,0,2013-09-20 20:53:50.29,facebook
63,248,alumno,466,alumno,mencion,@porro,23,0,2013-10-17 11:35:29.21,facebook
64,432,alumno,575,alumno,mencion,@unde,28,0,2013-10-04 21:51:18.357,facebook
65,0,docente,575,alumno,comentario,Accusantium quia quis doloremque porro ex sapiente est ipsum enim sed consequatur illum possimus ut.,0,0,2013-08-30 21:42:31.698,crea
66,586,alumno,89,alumno,reaccion,me_asombra,8,0,2013-11-29 00:33:45.773,facebook
67,0,docente,-1,null,publicacion,Est quia dolorem sed corrupti eos est adipisci laboriosam cum quis est officia ipsam laboriosam accusantium vitae assumenda fugit consequatur.,-1,0,2013-11-17 19:19:28.631,facebook
68,41,alumno,-1,null,publicacion,Ea repellat sit et ex est ea accusamus consequatur commodi eos ut suscipit fugiat accusantium delectus omnis iusto.,-1,0,2013-09-10 05:35:28.043,facebook
69,410,alumno,432,alumno,mensaje,Omnis et fugit totam id ut dolor consequuntur quo dolores voluptatibus natus architecto quo debitis.,-1,0,2013-09-17 10:47:08.233,crea
70,578,alumno,565,alumno,comentario,Amet corrupti veniam consequatur minus numquam nam porro rem possimus similique qui temporibus excepturi laudantium omnis.,59,0,2013-11-03 08:19:00.879,crea
71,410,alumno,13,material,consulta,null,-1,0,2013-11-23 21:04:05.477,crea
72,34,alumno,466,alumno,mensaje,Aperiam ipsa eum et nulla esse sunt deleniti perspiciatis eum corrupti nisi consequatur sit vel tempora eos.,-1,0,2013-08-31 10:20:21.26,crea
73,432,alumno,1,material,consulta,null,-1,0,2013-09-17 00:59:52.979,facebook
74,578,alumno,20,material,consulta,null,-1,0,2013-10-16 21:51:12.619,crea
75,173,alumno,575,alumno,comentario,Corrupti eveniet corrupti ullam temporibus dolorum labore quia dolores provident rerum culpa.,0,0,2013-09-14 19:29:31.1,facebook
76,89,alumno,0,material,consulta,null,-1,0,2013-10-10 18:06:42.88,crea
77,173,alumno,-1,null,publicacion,Voluptate et vero aut sapiente cupiditate aut veritatis non et sunt voluptate omnis sit odit consequatur.,-1,0,2013-10-10 01:27:46.491,facebook
78,0,docente,0,docente,mencion,@quibusdam,39,0,2013-10-07 14:04:07.711,facebook
79,508,alumno,89,alumno,mencion,@aut,8,0,2013-10-01 03:55:30.04,facebook
80,384,alumno,85,alumno,mencion,@ducimus,29,0,2013-09-01 05:40:00.072,facebook
81,0,docente,578,alumno,comentario,Placeat corporis facere tempore voluptas id soluta et sunt blanditiis qui ad itaque dolorem temporibus error.,15,0,2013-08-31 16:55:25.813,crea
82,71,alumno,15,material,consulta,null,-1,0,2013-09-26 23:00:53.43,crea
83,0,docente,528,alumno,mensaje,Qui ipsa tenetur quia quod eos unde cum facilis sint consequatur nobis fuga culpa error voluptates modi.,-1,0,2013-11-27 22:13:30.182,crea
84,435,alumno,6,material,consulta,null,-1,0,2013-09-23 13:07:59.224,crea
85,508,alumno,575,alumno,mencion,@ut,0,0,2013-11-06 23:11:20.186,facebook
86,410,alumno,5,material,consulta,null,-1,0,2013-11-11 14:41:25.786,crea
87,466,alumno,-1,null,publicacion,Voluptatum temporibus voluptatem aut enim accusantium et necessitatibus quo impedit vel deserunt quas natus adipisci placeat consectetur accusamus ipsam.,-1,0,2013-11-04 13:05:41.475,crea
88,0,docente,575,alumno,mencion,@sed,0,0,2013-09-10 19:10:38.164,facebook
89,71,alumno,-1,null,publicacion,Culpa veritatis sint magni esse sunt dignissimos sed iste nisi ut sed id aperiam omnis quaerat.,-1,0,2013-09-07 02:29:23.408,crea
90,0,docente,508,alumno,reaccion,me_enoja,30,0,2013-08-27 02:53:39.064,facebook
91,466,alumno,319,alumno,mensaje,Beatae suscipit vero odio atque enim sapiente tenetur eum omnis sint ipsam ducimus autem accusamus dolores.,27,0,2013-10-04 07:46:48.885,crea
92,89,alumno,74,alumno,mencion,@molestias,50,0,2013-10-07 15:04:18.241,facebook
93,0,docente,71,alumno,mencion,@odit,18,0,2013-09-14 15:40:06.083,facebook
94,4,alumno,-1,null,publicacion,Cupiditate sit repellat voluptatum est maxime iusto dolores molestias est unde blanditiis hic accusamus sunt qui.,-1,0,2013-08-28 08:02:47.726,crea
95,214,alumno,173,alumno,reaccion,me_entristece,77,0,2013-10-28 08:55:54.623,facebook
96,217,alumno,299,alumno,mensaje,Explicabo ea labore error est earum enim unde sequi eligendi ut illo dolore animi eligendi quis animi accusantium voluptatum aperiam.,-1,0,2013-09-18 03:53:41.405,crea
97,74,alumno,-1,null,publicacion,Nihil voluptas sed non et sunt reiciendis quo dolorum provident est aut debitis quidem dolorem magnam suscipit dicta voluptatem voluptatem.,-1,0,2013-11-30 19:54:48.814,facebook
98,508,alumno,0,docente,mencion,@ab,48,0,2013-09-03 03:09:29.925,facebook
99,74,alumno,0,docente,mencion,@ea,36,0,2013-08-19 12:37:53.674,facebook
100,214,alumno,0,docente,reaccion,me_asombra,48,0,2013-11-21 03:42:09.384,facebook
101,435,alumno,71,alumno,comentario,Optio et autem maxime quo et velit veniam aut laborum ipsa.,61,0,2013-10-18 01:26:00.443,crea
102,41,alumno,71,alumno,mensaje,Deserunt cupiditate ipsam ullam architecto maiores molestiae culpa aut qui quis et beatae minus explicabo et non voluptatibus occaecati.,83,0,2013-10-26 18:31:39.148,crea
103,410,alumno,0,docente,mensaje,Doloribus enim suscipit aspernatur ipsa nam repellat consequatur minima cum est eum ut officia in.,38,0,2013-10-28 02:46:26.017,crea
104,41,alumno,435,alumno,reaccion,me_divierte,42,0,2013-11-06 10:25:15.116,facebook
105,565,alumno,432,alumno,comentario,Earum sed totam dicta et aut vitae alias accusantium aut voluptas eius sapiente et.,64,0,2013-10-09 03:44:16.063,crea
106,508,alumno,565,alumno,mencion,@sed,59,0,2013-08-23 20:24:16.383,facebook
107,432,alumno,565,alumno,mensaje,Earum autem corrupti est sint eos quia praesentium eum ab rerum molestias ad nostrum voluptatem corrupti ratione.,-1,0,2013-10-27 06:45:09.014,crea
108,89,alumno,578,alumno,comentario,Quae numquam veniam est accusantium est et aut dolores expedita autem natus molestias porro.,3,0,2013-10-03 01:55:42.613,facebook
109,319,alumno,543,alumno,reaccion,me_entristece,52,0,2013-08-21 23:03:54.893,facebook
110,4,alumno,-1,null,publicacion,Debitis velit dolorem perspiciatis totam qui id aliquam quae minus eaque voluptatem odit accusamus cum autem illo quidem.,-1,0,2013-09-10 05:04:47.324,crea
111,0,docente,173,alumno,mencion,@cum,75,0,2013-11-12 06:25:16.207,facebook
112,299,alumno,0,docente,mensaje,Voluptates unde dolore et assumenda animi ratione occaecati eos placeat maxime minus quae laborum ratione nisi assumenda non dolor neque autem.,102,0,2013-11-11 00:55:35.435,crea
113,299,alumno,23,material,consulta,null,-1,0,2013-08-30 10:21:22.811,crea
114,74,alumno,89,alumno,reaccion,me_encanta,108,0,2013-11-24 07:11:16.012,facebook
115,417,alumno,85,alumno,mensaje,Sunt ea cumque modi assumenda officia officiis expedita consequatur error corporis iusto est dolorem nobis iure porro.,-1,0,2013-11-01 18:35:04.686,crea
116,319,alumno,432,alumno,comentario,Unde minus quam et quia qui exercitationem voluptas voluptatum dolorem dolorem aperiam incidunt odio odio quia.,64,0,2013-11-23 17:32:06.292,crea
117,248,alumno,-1,null,publicacion,Porro sunt est modi sint provident provident id ab repellendus in repudiandae et tempora distinctio.,-1,0,2013-10-03 06:47:18.528,crea
118,4,alumno,319,alumno,mensaje,Veritatis nesciunt at soluta tempora nulla quidem illo est optio consequatur a deserunt ducimus non in culpa.,40,0,2013-10-19 12:39:13.543,crea
119,578,alumno,21,material,consulta,null,-1,0,2013-11-25 17:46:38.797,facebook
120,0,docente,578,alumno,comentario,Neque tempore aut nam officiis dolores voluptas cupiditate explicabo et voluptas deserunt sequi.,15,0,2013-11-07 17:27:41.19,crea
121,384,alumno,9,material,consulta,null,-1,0,2013-10-16 16:32:56.041,crea
122,319,alumno,578,alumno,mensaje,Tenetur cumque in rerum assumenda eum officia dolorem dolores veniam voluptate repellat quis aut non alias molestiae nemo nostrum.,103,0,2013-10-10 01:06:51.665,crea
123,171,alumno,14,material,consulta,null,-1,0,2013-11-24 02:13:18.55,crea
124,74,alumno,74,alumno,mensaje,Totam aliquam id omnis autem id aut id natus quia sit doloremque alias eum adipisci tempore mollitia autem aut.,-1,0,2013-09-17 12:52:41.093,crea
125,0,docente,-1,null,publicacion,Et aut odio hic ratione debitis eveniet ut facere provident culpa ratione corporis animi aliquam qui.,-1,0,2013-09-04 19:03:52.241,crea
126,0,docente,-1,null,publicacion,Qui quos voluptas qui commodi optio tempore delectus accusamus beatae similique iure sed in quia veniam expedita aut sed corporis a.,-1,0,2013-10-06 21:43:44.418,crea
127,217,alumno,432,alumno,mencion,@rerum,37,0,2013-08-15 21:55:16.052,facebook
128,71,alumno,0,docente,mensaje,Accusamus at autem qui laudantium sit voluptatem qui dignissimos quis ducimus commodi nihil dolorum alias omnis nesciunt accusamus totam.,51,0,2013-11-07 19:08:24.436,crea
129,0,docente,-1,null,publicacion,Asperiores autem molestiae possimus aut aut necessitatibus tempora qui et possimus accusantium aut qui sint doloremque est et fugiat.,-1,0,2013-09-22 09:02:55.464,crea
130,0,docente,-1,null,publicacion,Assumenda et ut placeat omnis quod assumenda est explicabo inventore et eos quisquam et soluta libero nulla dolor.,-1,0,2013-10-25 17:25:07.436,crea
131,171,alumno,-1,null,publicacion,Cumque voluptatem et corporis est enim qui quae architecto totam voluptatum magnam officia deleniti est.,-1,0,2013-09-13 05:07:35.59,facebook
132,565,alumno,528,alumno,mensaje,Consequatur voluptas doloribus laudantium neque itaque laudantium corrupti vel sunt sequi dignissimos officia laboriosam consequatur nulla voluptas.,-1,0,2013-09-06 20:44:56.417,crea
133,508,alumno,19,material,consulta,null,-1,0,2013-10-31 23:25:07.472,facebook
134,71,alumno,417,alumno,mensaje,Nostrum totam provident doloremque consequatur nobis blanditiis sapiente distinctio ut quibusdam id odit non autem aliquam quod.,-1,0,2013-08-29 03:53:40.425,crea
135,0,docente,74,alumno,mensaje,Sequi possimus sunt repellat dolores voluptatem rerum neque fuga doloribus rerum reprehenderit provident dolor ut voluptates recusandae consectetur ut vitae.,132,0,2013-10-30 16:32:23.61,crea
136,575,alumno,508,alumno,mencion,@aliquid,98,0,2013-08-24 19:45:35.197,facebook
137,432,alumno,435,alumno,reaccion,me_encanta,33,0,2013-11-07 08:51:33.102,facebook
138,435,alumno,0,docente,comentario,Neque iure sed magni soluta quod veritatis voluptatem repellendus accusamus quam itaque.,88,0,2013-09-07 10:56:50.673,facebook
139,85,alumno,-1,null,publicacion,Doloremque ea voluptas quas qui enim veniam aut dolor accusamus tempora deserunt ipsa quia non sapiente.,-1,0,2013-10-05 01:33:36.835,crea
140,4,alumno,21,material,consulta,null,-1,0,2013-11-06 19:27:22.879,facebook
141,71,alumno,41,alumno,mensaje,Delectus quis sed et ad optio earum excepturi voluptas aut est nisi fugit qui optio modi.,-1,0,2013-09-13 08:09:34.282,crea
142,410,alumno,41,alumno,mencion,@facere,68,0,2013-09-23 23:12:31.197,facebook
143,432,alumno,-1,null,publicacion,Dolore quaerat cupiditate facere et consequuntur perspiciatis ab sunt aut odio autem amet accusantium neque quis ex eum vitae cupiditate.,-1,0,2013-11-02 02:52:14.715,crea
144,508,alumno,-1,null,publicacion,Eum quis occaecati doloremque non et doloremque soluta necessitatibus officiis dicta nostrum et quia et vero ipsam sit.,-1,0,2013-11-20 14:26:53.754,crea
145,578,alumno,0,docente,comentario,Corporis aut est hic molestiae et in beatae libero ut sit autem velit consequatur itaque eius.,78,0,2013-08-25 09:23:26.09,crea
146,248,alumno,0,docente,mensaje,Dolorem nobis molestias voluptas ipsa tempore numquam a earum et et rerum accusantium qui esse voluptatem dolor.,58,0,2013-08-17 21:00:11.46,crea
147,384,alumno,26,material,consulta,null,-1,0,2013-09-18 22:12:29.46,crea
148,217,alumno,-1,null,publicacion,Est exercitationem ratione ducimus enim reiciendis totam porro qui facilis vel sapiente minima repellat doloribus ut non ut soluta.,-1,0,2013-10-16 11:29:58.646,crea
149,578,alumno,-1,null,publicacion,Ipsa ratione sit corrupti nihil itaque et sed illum culpa expedita voluptate magni et modi omnis.,-1,0,2013-11-03 15:58:37.022,crea
150,575,alumno,4,alumno,reaccion,me_enoja,94,0,2013-10-24 03:55:24.97,facebook
151,74,alumno,26,material,consulta,null,-1,0,2013-11-30 00:08:19.515,crea
152,71,alumno,432,alumno,mencion,@possimus,143,0,2013-08-21 05:59:51.267,facebook
153,74,alumno,508,alumno,reaccion,me_gusta,30,0,2013-09-06 00:22:32.324,facebook
154,4,alumno,508,alumno,reaccion,me_encanta,30,0,2013-08-23 00:30:19.32,facebook
155,586,alumno,-1,null,publicacion,Facilis molestiae quaerat nam consequuntur ad doloribus quia libero culpa quia repellat ullam dignissimos assumenda veniam numquam.,-1,0,2013-11-14 06:00:22.744,facebook
156,173,alumno,89,alumno,mencion,@aspernatur,8,0,2013-09-28 10:02:34.785,facebook
157,435,alumno,13,material,consulta,null,-1,0,2013-09-23 15:23:04.948,crea
158,417,alumno,565,alumno,mensaje,Voluptatibus est eveniet sed explicabo mollitia qui non voluptatem quia aut necessitatibus tenetur accusamus quia ab accusamus reiciendis officia voluptatum et.,-1,0,2013-11-18 08:33:11.659,crea
159,214,alumno,-1,null,publicacion,Sit omnis quia est architecto alias harum enim aut ut esse debitis harum praesentium et ut laborum tempora.,-1,0,2013-09-01 00:43:46.273,facebook
160,432,alumno,-1,null,publicacion,Eos iure quo dolorum et rem nostrum neque consequatur voluptatem sed vel distinctio enim est doloribus.,-1,0,2013-10-08 19:27:34.218,crea
161,575,alumno,5,material,consulta,null,-1,0,2013-11-08 11:06:44.292,crea
162,543,alumno,-1,null,publicacion,Corporis quis possimus ea occaecati quos ducimus iure mollitia expedita reprehenderit ullam qui culpa voluptas similique quaerat culpa totam deleniti modi.,-1,0,2013-10-13 07:31:18.768,facebook
163,0,docente,0,docente,reaccion,me_enoja,120,0,2013-08-24 16:48:34.806,facebook
164,4,alumno,-1,null,publicacion,Ea vero repellendus est distinctio accusamus quia porro cupiditate et molestiae sed ex perspiciatis corrupti est illo.,-1,0,2013-11-11 21:45:34.916,crea
165,565,alumno,0,docente,mensaje,Molestias consequuntur aut aut totam error non odio qui non ratione quaerat at voluptates iste aliquid ea.,72,0,2013-11-02 07:50:03.524,crea
166,543,alumno,34,alumno,mensaje,Sit non asperiores praesentium earum ducimus sapiente distinctio id vero repellendus fugit vel vitae praesentium.,141,0,2013-09-10 14:12:32.384,crea
167,89,alumno,-1,null,publicacion,Distinctio voluptates vitae quia quibusdam est facere voluptates consequatur eaque quam rem quo atque omnis voluptate excepturi temporibus vitae molestiae eos.,-1,0,2013-09-03 16:38:50.171,crea
168,417,alumno,21,material,consulta,null,-1,0,2013-10-25 02:03:34.848,crea
169,0,docente,0,docente,comentario,Quasi alias at ipsam qui et suscipit quisquam rerum vitae quod rerum perspiciatis.,125,0,2013-11-18 03:55:19.947,crea
170,89,alumno,71,alumno,comentario,Quod voluptas aliquam blanditiis voluptas autem repellat vitae fuga autem dolore culpa illum facere modi.,7,0,2013-09-27 05:54:48.696,crea
171,543,alumno,578,alumno,mencion,@ut,149,0,2013-10-30 13:38:32.75,facebook
172,565,alumno,578,alumno,mencion,@deleniti,3,0,2013-11-25 22:57:59.464,facebook
173,214,alumno,171,alumno,comentario,Eos asperiores et tempore sint nostrum animi explicabo eligendi consequatur.,5,0,2013-10-11 06:23:45.686,facebook
174,565,alumno,214,alumno,mencion,@quos,100,0,2013-11-26 15:06:56.589,facebook
175,34,alumno,0,docente,mensaje,Et aut ea quia laboriosam et dolorem expedita eos inventore voluptate quis et eos iusto recusandae eum deleniti repellendus.,-1,0,2013-09-07 15:09:53.044,crea
176,586,alumno,-1,null,publicacion,Quas voluptatibus quaerat vel a est officia optio asperiores et tempora non repellat enim incidunt tempore.,-1,0,2013-09-23 03:14:15.829,facebook
177,417,alumno,-1,null,publicacion,Ducimus cupiditate pariatur aut accusamus et at nisi ad eos expedita dolores magni quas maiores similique.,-1,0,2013-08-25 08:39:45.755,facebook
178,71,alumno,0,docente,mencion,@omnis,81,0,2013-11-18 07:57:46.117,facebook
179,214,alumno,34,alumno,reaccion,me_encanta,20,0,2013-09-12 21:37:10.5,facebook
180,528,alumno,432,alumno,mensaje,Et distinctio cupiditate voluptatem magnam quo at omnis quis at autem ullam omnis corrupti dicta modi commodi optio qui sed tempora.,-1,0,2013-10-05 22:19:38.026,crea
181,543,alumno,565,alumno,comentario,Et eos ut repellat et eligendi omnis saepe ut ad ipsum esse eius laboriosam voluptatem id.,105,0,2013-10-09 05:12:57.799,crea
182,173,alumno,0,docente,comentario,Praesentium ut dolores dicta iste molestias et qui nesciunt quia quis numquam ipsa qui.,125,0,2013-10-23 21:31:05.693,facebook
183,466,alumno,23,material,consulta,null,-1,0,2013-10-22 14:48:13.228,crea
184,85,alumno,-1,null,publicacion,Et deleniti soluta ea libero nisi optio facere nesciunt aut aut est qui repellendus laborum voluptas.,-1,0,2013-09-18 17:14:55.017,facebook
185,432,alumno,74,alumno,comentario,Aliquid sint dolorum et sint sed adipisci nostrum sed voluptatum ut alias ipsa.,50,0,2013-11-02 16:20:53.094,facebook
186,0,docente,89,alumno,comentario,Incidunt molestias aut totam aut dolor enim repellat aliquam itaque non atque totam et dolorem.,12,0,2013-09-11 22:09:07.47,facebook
187,575,alumno,10,material,consulta,null,-1,0,2013-08-20 19:45:57.853,facebook
188,435,alumno,7,material,consulta,null,-1,0,2013-11-16 06:34:11.324,crea
189,74,alumno,435,alumno,reaccion,me_divierte,33,0,2013-09-08 01:57:04.016,facebook
190,74,alumno,565,alumno,mencion,@corrupti,174,0,2013-11-07 16:01:52.05,facebook
191,0,docente,508,alumno,mencion,@quis,79,0,2013-09-12 09:06:22.273,facebook
192,417,alumno,5,material,consulta,null,-1,0,2013-08-20 19:54:15.991,crea
193,85,alumno,-1,null,publicacion,Et corrupti sunt repudiandae dolorem ea quidem sequi commodi velit numquam voluptas repellendus et neque assumenda.,-1,0,2013-10-19 17:20:17.233,crea
194,214,alumno,-1,null,publicacion,Vel dolorum sapiente nobis perferendis omnis nobis rem quis voluptatum voluptatem sint itaque iure facilis ipsum saepe sed.,-1,0,2013-11-25 12:57:00.485,facebook
195,384,alumno,578,alumno,mensaje,Et dolorem omnis iure repudiandae nihil magnam eum qui unde minima ut quibusdam sunt sapiente.,-1,0,2013-10-20 13:30:21.084,crea
196,528,alumno,-1,null,publicacion,Enim distinctio mollitia nobis nisi hic numquam id adipisci ullam nobis illo pariatur ut in repellat.,-1,0,2013-08-31 02:28:43.712,facebook
197,0,docente,85,alumno,reaccion,me_divierte,29,0,2013-10-07 00:38:04.644,facebook
198,0,docente,586,alumno,comentario,Dolorem quia dicta quo et necessitatibus laboriosam corporis est enim voluptatem dolor voluptate.,21,0,2013-09-02 23:54:44.373,facebook
199,410,alumno,-1,null,publicacion,Dolorum autem in consequatur voluptas accusantium id non molestias ipsa ducimus quo rem ipsum magnam repellat.,-1,0,2013-09-16 21:32:25.865,facebook
